Approach,d,D,N,Weight,Feasible
HHO (Artigo),0.051796393,0.359305355,11.138859,0.012665443,True
ES (fixed),0.05,0.3166255646246801,14.22406832580589,0.012842386985419197,True
ES (hybrid),0.05363521250557167,0.4048394645745,9.112143213800424,0.01294138278434697,True
ES (no-penalty),0.05,0.25,2.0,0.0025000000000000005,False
ES (progressive),0.05,0.31669855524599455,14.170251389946117,0.012802738132901179,True
ES (violation),0.05,0.3173525343649318,14.050002265279062,0.01273377223862302,True
