Approach,d,D,N,Weight,Feasible
HHO (Artigo),0.051796393,0.359305355,11.138859,0.012665443,True
ES (fixed),0.05,0.3166823564905548,14.136331807321087,0.012775228954639839,True
ES (hybrid),0.05,0.3165977545337493,14.138488075732146,0.01277352271586622,True
ES (no-penalty),0.05,0.25,2.0,0.0025000000000000005,False
ES (progressive),0.05,0.31717208915465367,14.135444232379795,0.012794281391555772,True
ES (violation),0.05,0.31739006138600423,14.051058556765103,0.012736116151605064,True
